               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.083593,            0.033276,             0.06455,                0.15,             0.19217,            0.044911,            0.015131,            0.062211,            0.018878,            0.059608,            0.070476,           0.0032804,           0.0032804
                   1,            0.058136,            0.025437,            0.060776,             0.10441,             0.36464,            0.099104,            0.037949,            0.049523,            0.014096,            0.058001,            0.040411,           0.0065483,           0.0065483
                   2,            0.054748,            0.021377,            0.060065,            0.096712,             0.42725,             0.10477,            0.052187,            0.047523,            0.012185,            0.057847,            0.010279,           0.0097501,           0.0097501
                   3,            0.049283,            0.019583,            0.059937,            0.092973,             0.53915,             0.12388,            0.065908,            0.042086,            0.010677,            0.057456,            0.009703,            0.009703,            0.009703
                   4,            0.043795,            0.017174,            0.059367,              0.1175,              0.5582,             0.14867,            0.078812,            0.037938,            0.010284,            0.056899,            0.009703,            0.009703,            0.009703
                   5,            0.040174,            0.016194,            0.059354,             0.13294,             0.55704,             0.17145,            0.099118,            0.035353,           0.0094877,            0.056619,            0.009604,            0.009604,            0.009604
                   6,            0.038391,            0.015528,            0.058623,             0.14748,             0.49456,             0.19533,             0.11356,            0.033233,           0.0091973,            0.055496,            0.009505,            0.009505,            0.009505
                   7,            0.036685,            0.015444,            0.057334,             0.19593,             0.43735,             0.25839,             0.16468,            0.031502,           0.0090627,            0.053819,            0.009406,            0.009406,            0.009406
                   8,            0.036074,            0.014849,            0.055289,             0.28332,             0.45913,             0.32235,             0.18731,            0.033506,           0.0094233,            0.051297,            0.009307,            0.009307,            0.009307
                   9,            0.034478,            0.014131,            0.052533,              0.3839,             0.53438,              0.4465,              0.2664,             0.03187,           0.0088094,            0.046036,            0.009208,            0.009208,            0.009208
                  10,            0.034174,            0.014345,            0.048871,             0.47608,              0.6014,             0.52604,             0.32101,            0.028974,           0.0089293,            0.042699,            0.009109,            0.009109,            0.009109
                  11,            0.034246,            0.013985,            0.045297,              0.4647,             0.62968,             0.55298,             0.31987,            0.033281,           0.0086173,            0.038851,             0.00901,             0.00901,             0.00901
