               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.083593,            0.033276,             0.06455,                0.15,             0.19217,            0.044911,            0.015131,            0.062211,            0.018878,            0.059608,            0.070476,           0.0032804,           0.0032804
                   1,             0.05796,            0.025422,            0.060801,            0.077274,             0.29087,            0.073147,            0.029257,            0.050134,             0.01402,            0.058074,            0.040345,           0.0064828,           0.0064828
                   2,            0.054301,            0.021594,            0.060078,            0.099464,             0.47166,             0.11105,            0.048431,            0.048576,            0.012297,            0.057927,            0.010082,           0.0095532,           0.0095532
                   3,            0.049158,            0.019572,            0.059877,             0.10604,             0.56317,             0.12223,            0.054108,            0.043571,            0.010907,            0.057351,            0.009406,            0.009406,            0.009406
                   4,            0.043774,            0.017538,            0.059403,              0.1157,             0.61244,             0.14668,            0.071787,            0.035499,            0.010289,            0.056751,            0.009406,            0.009406,            0.009406
                   5,            0.040101,            0.016058,            0.059424,             0.12477,             0.54537,             0.17524,             0.09334,            0.034925,           0.0096862,            0.056628,            0.009208,            0.009208,            0.009208
                   6,            0.038058,            0.015492,            0.058732,             0.15469,             0.42999,             0.20481,             0.11192,            0.034306,           0.0092653,            0.055812,             0.00901,             0.00901,             0.00901
                   7,             0.03639,            0.015345,            0.057663,             0.16658,             0.46759,             0.23634,             0.15336,            0.030528,           0.0088946,            0.054338,            0.008812,            0.008812,            0.008812
                   8,            0.034418,            0.014738,            0.056075,             0.34765,             0.42984,             0.31152,             0.18554,            0.032216,           0.0086368,             0.05192,            0.008614,            0.008614,            0.008614
                   9,            0.034095,            0.014079,            0.053751,             0.34721,             0.49936,             0.38017,             0.22641,            0.031557,           0.0086261,            0.048429,            0.008416,            0.008416,            0.008416
                  10,            0.034042,            0.014147,             0.05056,             0.43387,             0.55683,             0.47762,             0.30788,             0.02872,           0.0085115,            0.044358,            0.008218,            0.008218,            0.008218
                  11,            0.033176,            0.013792,            0.047175,             0.47661,             0.61051,             0.50328,             0.29885,            0.030128,           0.0086446,            0.041499,             0.00802,             0.00802,             0.00802
                  12,            0.033264,            0.013587,            0.043486,             0.49079,             0.63743,             0.57526,             0.37494,            0.028114,            0.008519,            0.038688,            0.007822,            0.007822,            0.007822
                  13,            0.033273,            0.014089,            0.040313,             0.58351,             0.65544,             0.66124,             0.44377,            0.028104,           0.0082119,            0.034068,            0.007624,            0.007624,            0.007624
                  14,            0.032897,            0.013469,              0.0374,             0.60468,             0.68213,             0.71368,             0.47158,            0.028385,           0.0080883,            0.029366,            0.007426,            0.007426,            0.007426
                  15,            0.032026,            0.013507,            0.035063,             0.62072,             0.73118,             0.74466,             0.51282,            0.026993,           0.0081463,             0.02745,            0.007228,            0.007228,            0.007228
                  16,            0.031738,            0.013546,            0.032353,             0.68557,             0.72918,             0.78033,             0.51091,            0.028684,           0.0080927,            0.025478,             0.00703,             0.00703,             0.00703
                  17,            0.031609,            0.013006,            0.030957,             0.74531,             0.78899,             0.83034,             0.55628,            0.026688,           0.0077303,            0.021559,            0.006832,            0.006832,            0.006832
                  18,            0.030436,            0.013502,            0.028712,             0.77802,             0.81392,             0.86888,             0.59852,             0.02693,           0.0079458,            0.021566,            0.006634,            0.006634,            0.006634
                  19,            0.030187,            0.012629,            0.026501,             0.76183,               0.786,             0.85864,             0.60921,            0.026392,           0.0077127,            0.020337,            0.006436,            0.006436,            0.006436
                  20,            0.029762,            0.012857,            0.026056,             0.83701,             0.79201,             0.87899,             0.59623,            0.025718,           0.0077935,            0.019424,            0.006238,            0.006238,            0.006238
                  21,            0.029386,            0.012276,            0.023429,             0.88414,             0.81736,             0.90733,             0.64407,             0.02524,            0.007606,            0.018215,             0.00604,             0.00604,             0.00604
                  22,            0.029271,            0.012504,            0.021814,             0.91535,             0.85099,              0.9327,             0.66294,            0.025068,           0.0074241,            0.014788,            0.005842,            0.005842,            0.005842
                  23,            0.027557,            0.012087,            0.020216,             0.90495,             0.87252,               0.936,             0.67935,            0.024155,           0.0073559,            0.013506,            0.005644,            0.005644,            0.005644
                  24,            0.027487,            0.011963,            0.019137,             0.92198,             0.86823,             0.94846,             0.69288,            0.024547,           0.0071473,            0.013102,            0.005446,            0.005446,            0.005446
                  25,            0.027514,            0.011979,            0.018764,              0.9467,             0.88312,             0.96019,             0.70922,            0.024121,           0.0074747,            0.011061,            0.005248,            0.005248,            0.005248
                  26,            0.027204,             0.01198,            0.017626,             0.95059,             0.89645,             0.96387,             0.71846,            0.022672,           0.0069219,            0.010409,             0.00505,             0.00505,             0.00505
                  27,            0.027183,            0.012241,            0.016195,             0.95141,              0.8939,             0.96503,             0.73406,             0.02223,           0.0069937,            0.010069,            0.004852,            0.004852,            0.004852
                  28,            0.026459,             0.01249,            0.015926,             0.94509,             0.90827,             0.97198,             0.72984,             0.02164,           0.0068367,           0.0086208,            0.004654,            0.004654,            0.004654
                  29,            0.026194,            0.011542,            0.014524,             0.95856,             0.92185,             0.97917,             0.74322,            0.021426,           0.0068524,           0.0079577,            0.004456,            0.004456,            0.004456
                  30,            0.025641,            0.011835,            0.015114,             0.95822,              0.9396,             0.97964,             0.76041,            0.020203,           0.0065185,           0.0072442,            0.004258,            0.004258,            0.004258
                  31,             0.02491,            0.011439,            0.013777,             0.96514,             0.93401,             0.98218,             0.75119,            0.021082,           0.0065538,           0.0069317,             0.00406,             0.00406,             0.00406
                  32,            0.024556,            0.010848,            0.013493,              0.9462,             0.94731,             0.98007,             0.76234,            0.019729,           0.0066264,           0.0068072,            0.003862,            0.003862,            0.003862
                  33,             0.02403,            0.011237,            0.012392,             0.96008,             0.93791,             0.98075,             0.76988,            0.020019,           0.0064511,           0.0067245,            0.003664,            0.003664,            0.003664
                  34,            0.023322,            0.010892,            0.012109,             0.95546,             0.93893,             0.98027,             0.77146,             0.02015,           0.0064674,           0.0067597,            0.003466,            0.003466,            0.003466
                  35,            0.023712,            0.011087,            0.010866,             0.96829,             0.95893,             0.98754,             0.78334,              0.0192,           0.0061949,           0.0055277,            0.003268,            0.003268,            0.003268
                  36,            0.023653,            0.011226,            0.010893,             0.98249,              0.9548,             0.99029,             0.79642,            0.018413,           0.0060601,           0.0049054,             0.00307,             0.00307,             0.00307
                  37,            0.022691,            0.010595,           0.0095045,             0.97765,             0.96008,             0.99004,             0.79955,             0.01808,           0.0059438,           0.0047276,            0.002872,            0.002872,            0.002872
                  38,            0.021655,            0.010429,           0.0096433,             0.98483,             0.95468,             0.98918,              0.8043,            0.018368,            0.005912,           0.0042081,            0.002674,            0.002674,            0.002674
                  39,            0.022268,            0.010607,             0.00997,             0.97884,             0.97014,             0.99082,             0.80588,            0.017491,           0.0058648,           0.0038198,            0.002476,            0.002476,            0.002476
                  40,             0.02155,            0.010367,           0.0091137,             0.98035,             0.96572,              0.9922,             0.81158,            0.016938,           0.0057368,           0.0036896,            0.002278,            0.002278,            0.002278
                  41,            0.021039,            0.010346,           0.0085603,             0.98254,             0.97552,             0.99251,             0.82874,            0.016387,           0.0055757,           0.0030259,             0.00208,             0.00208,             0.00208
                  42,            0.020914,            0.010225,           0.0089424,             0.98375,             0.97564,             0.99228,             0.83296,             0.01612,           0.0055618,           0.0030696,            0.001882,            0.001882,            0.001882
                  43,            0.020358,             0.01029,           0.0083886,             0.98684,             0.97171,             0.99317,             0.83753,            0.015745,           0.0054573,           0.0028625,            0.001684,            0.001684,            0.001684
                  44,            0.020354,           0.0098139,           0.0078142,             0.98486,             0.97576,             0.99341,             0.84332,            0.015271,            0.005498,           0.0026821,            0.001486,            0.001486,            0.001486
                  45,            0.019594,           0.0099396,           0.0076419,             0.98607,             0.97619,             0.99332,             0.84205,            0.015259,           0.0053935,           0.0026333,            0.001288,            0.001288,            0.001288
                  46,            0.019241,           0.0095881,           0.0067171,             0.98866,             0.97787,             0.99371,             0.85284,            0.014693,           0.0052912,           0.0024321,             0.00109,             0.00109,             0.00109
                  47,            0.018732,           0.0098964,           0.0070111,             0.99068,             0.98108,             0.99394,             0.85772,            0.014377,           0.0051828,           0.0022775,            0.000892,            0.000892,            0.000892
                  48,            0.018349,           0.0093719,           0.0065131,             0.99103,             0.98405,             0.99419,             0.85956,            0.014222,           0.0051438,           0.0022326,            0.000694,            0.000694,            0.000694
                  49,            0.018257,           0.0096207,           0.0061079,             0.98984,              0.9835,             0.99434,             0.86129,            0.014076,           0.0051639,           0.0020831,            0.000496,            0.000496,            0.000496
