               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  36,            0.030867,            0.013622,            0.014364,             0.92083,             0.88671,              0.9582,             0.67739,            0.025974,           0.0079789,           0.0085105,           0.0096535,           0.0096535,           0.0096535
                  37,             0.03016,            0.013158,            0.013454,             0.86205,             0.78845,             0.88459,             0.58867,            0.026556,           0.0080768,            0.016295,           0.0096436,           0.0096436,           0.0096436
                  38,            0.028092,            0.013035,            0.014749,             0.91253,             0.91377,             0.96781,             0.68461,             0.02477,           0.0078995,           0.0069608,           0.0096337,           0.0096337,           0.0096337
                  39,            0.030483,            0.013382,            0.015184,             0.95396,             0.92035,             0.97648,             0.71851,            0.024013,           0.0076268,           0.0063043,           0.0096238,           0.0096238,           0.0096238
                  40,            0.030325,             0.01314,            0.013134,             0.93523,             0.93856,             0.97606,             0.69051,             0.02441,           0.0076018,           0.0060008,           0.0096139,           0.0096139,           0.0096139
                  41,            0.030179,            0.013193,            0.013132,             0.92146,              0.9141,             0.96614,             0.70345,             0.02456,           0.0077453,            0.007135,            0.009604,            0.009604,            0.009604
                  42,            0.029687,            0.013164,            0.013541,             0.93991,              0.8891,             0.96972,             0.70995,            0.023006,           0.0075318,           0.0080735,           0.0095941,           0.0095941,           0.0095941
                  43,            0.029074,            0.013167,            0.012825,             0.93649,             0.91877,             0.96815,             0.69065,            0.023903,           0.0073089,           0.0067561,           0.0095842,           0.0095842,           0.0095842
                  44,            0.029471,            0.012591,            0.012902,             0.94912,             0.90998,              0.9737,             0.70737,            0.024506,            0.007423,           0.0069472,           0.0095743,           0.0095743,           0.0095743
                  45,            0.029095,            0.012967,            0.013826,             0.95426,             0.94841,             0.98522,             0.71571,             0.02423,           0.0072945,           0.0044504,           0.0095644,           0.0095644,           0.0095644
                  46,            0.029732,            0.012757,            0.012071,              0.9376,             0.94696,             0.98092,             0.69806,            0.025092,           0.0075346,           0.0053862,           0.0095545,           0.0095545,           0.0095545
                  47,            0.028608,            0.013076,            0.011887,              0.9373,             0.94431,             0.97632,             0.71652,            0.023292,           0.0073138,           0.0057173,           0.0095446,           0.0095446,           0.0095446
                  48,            0.028921,            0.012576,            0.011081,              0.9539,             0.95618,             0.98361,             0.72353,            0.023615,           0.0073142,           0.0050524,           0.0095347,           0.0095347,           0.0095347
                  49,            0.028571,            0.012898,            0.011208,             0.94552,              0.9465,             0.98013,             0.72811,            0.022869,           0.0073585,           0.0045317,           0.0095248,           0.0095248,           0.0095248
                  50,            0.028499,            0.012461,            0.011673,             0.95226,              0.9452,             0.98514,             0.73581,            0.022761,           0.0070738,           0.0043784,           0.0095149,           0.0095149,           0.0095149
                  51,            0.028188,            0.012503,            0.011361,             0.94231,              0.9486,             0.97966,             0.71962,            0.022825,           0.0070547,           0.0041724,            0.009505,            0.009505,            0.009505
                  52,            0.028144,            0.012284,            0.011057,             0.95291,             0.96049,             0.98839,             0.71316,            0.023504,           0.0071964,           0.0043967,           0.0094951,           0.0094951,           0.0094951
                  53,             0.02763,            0.012478,            0.010014,             0.94369,             0.95847,             0.98473,             0.70058,            0.023455,           0.0076047,           0.0047993,           0.0094852,           0.0094852,           0.0094852
                  54,            0.027801,            0.012457,            0.010197,             0.96368,              0.9736,             0.98831,             0.73536,            0.021647,           0.0070035,            0.003272,           0.0094753,           0.0094753,           0.0094753
                  55,            0.028063,            0.012619,            0.010146,             0.97002,              0.9586,             0.98742,             0.74262,            0.022286,           0.0069764,           0.0044226,           0.0094654,           0.0094654,           0.0094654
                  56,            0.027333,            0.012085,            0.010195,              0.9633,             0.96143,             0.98744,             0.74036,            0.021968,           0.0069655,           0.0036829,           0.0094555,           0.0094555,           0.0094555
                  57,             0.02764,            0.012074,           0.0098014,              0.9629,             0.96994,             0.98808,             0.74903,            0.022079,           0.0070395,           0.0035477,           0.0094456,           0.0094456,           0.0094456
                  58,            0.028195,             0.01256,            0.010087,               0.968,              0.9667,             0.98942,             0.74707,            0.020907,           0.0070294,           0.0034604,           0.0094357,           0.0094357,           0.0094357
                  59,            0.026757,            0.012387,            0.009996,             0.89091,             0.86089,             0.93198,             0.69335,            0.022852,           0.0079005,            0.012241,           0.0094258,           0.0094258,           0.0094258
                  60,            0.027146,            0.012095,            0.010406,             0.90302,             0.87734,             0.93852,             0.71143,             0.02159,           0.0072367,            0.012551,           0.0094159,           0.0094159,           0.0094159
                  61,            0.026518,            0.012069,            0.010167,             0.96659,             0.96116,             0.98955,             0.74229,            0.022818,           0.0070665,           0.0039639,            0.009406,            0.009406,            0.009406
                  62,            0.026578,            0.012017,             0.01071,             0.96548,             0.96221,              0.9876,             0.74849,            0.021447,           0.0069048,           0.0035961,           0.0093961,           0.0093961,           0.0093961
                  63,            0.027939,            0.012081,           0.0094843,             0.96076,             0.96345,              0.9903,             0.73103,            0.021512,           0.0068963,           0.0034582,           0.0093862,           0.0093862,           0.0093862
                  64,            0.026916,            0.011862,            0.010544,             0.96758,             0.95131,             0.98721,             0.74266,              0.0212,           0.0069184,           0.0042897,           0.0093763,           0.0093763,           0.0093763
                  65,             0.02653,            0.012194,           0.0099805,             0.96194,             0.95564,             0.98944,             0.76708,            0.019749,           0.0066949,           0.0036578,           0.0093664,           0.0093664,           0.0093664
                  66,            0.025737,            0.012106,           0.0097451,             0.98091,             0.96993,             0.99123,             0.76288,            0.020484,           0.0066975,           0.0032416,           0.0093565,           0.0093565,           0.0093565
                  67,            0.026355,            0.011632,           0.0092789,             0.94651,              0.9566,             0.98206,             0.75086,            0.020701,           0.0068062,           0.0037722,           0.0093466,           0.0093466,           0.0093466
