               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  37,            0.024925,            0.011727,            0.012305,              0.9599,             0.94211,              0.9843,              0.7685,            0.020215,           0.0069697,           0.0050087,            0.005248,            0.005248,            0.005248
                  38,            0.024822,            0.011504,            0.010438,              0.9516,             0.94228,             0.98196,              0.7578,            0.021025,           0.0069039,           0.0048875,            0.005116,            0.005116,            0.005116
                  39,            0.024806,            0.011419,            0.010458,             0.96671,             0.95714,             0.98751,             0.78144,            0.019074,           0.0066432,           0.0038325,            0.004984,            0.004984,            0.004984
                  40,            0.024593,            0.011539,            0.010493,             0.96418,             0.96092,             0.98766,             0.77652,            0.019841,           0.0068718,           0.0040354,            0.004852,            0.004852,            0.004852
                  41,            0.024244,            0.011465,           0.0098819,             0.97166,             0.96404,             0.99058,              0.7747,             0.01892,           0.0064446,           0.0033592,             0.00472,             0.00472,             0.00472
                  42,            0.023762,            0.011345,            0.010068,             0.97274,             0.97424,             0.99249,             0.79987,            0.018412,           0.0064835,           0.0029704,            0.004588,            0.004588,            0.004588
                  43,             0.02418,            0.011336,           0.0097253,             0.97919,             0.97566,             0.99244,             0.78836,            0.018783,           0.0063934,           0.0029474,            0.004456,            0.004456,            0.004456
                  44,            0.023156,            0.011269,             0.00871,             0.98408,             0.97086,             0.99293,             0.80473,            0.018348,           0.0064068,           0.0026946,            0.004324,            0.004324,            0.004324
                  45,            0.022971,            0.011354,           0.0091121,             0.97983,             0.97243,             0.99248,             0.80562,            0.018197,           0.0062342,           0.0024882,            0.004192,            0.004192,            0.004192
                  46,            0.022823,            0.010737,           0.0083801,             0.98223,             0.97159,             0.99222,             0.79809,            0.017296,           0.0062655,           0.0026663,             0.00406,             0.00406,             0.00406
                  47,            0.022563,            0.010615,           0.0088944,             0.98804,             0.97143,             0.99366,             0.81185,            0.017821,           0.0061648,           0.0025135,            0.003928,            0.003928,            0.003928
                  48,            0.022233,            0.010948,           0.0077523,             0.98508,             0.97657,              0.9929,             0.82096,            0.016666,           0.0062005,           0.0022508,            0.003796,            0.003796,            0.003796
                  49,            0.022322,            0.010328,            0.007942,             0.98155,              0.9844,             0.99374,              0.8277,            0.016628,           0.0058977,           0.0022042,            0.003664,            0.003664,            0.003664
                  50,            0.021858,             0.01029,           0.0072584,             0.98437,             0.98565,             0.99366,              0.8198,            0.016409,           0.0059074,            0.002078,            0.003532,            0.003532,            0.003532
                  51,            0.021176,            0.010369,           0.0069801,             0.98203,             0.98861,             0.99417,             0.82367,            0.016483,           0.0058258,             0.00193,              0.0034,              0.0034,              0.0034
                  52,            0.021524,            0.010728,           0.0070951,             0.98825,              0.9797,             0.99379,             0.83326,            0.016034,           0.0057854,           0.0018655,            0.003268,            0.003268,            0.003268
                  53,            0.020949,            0.010395,           0.0066482,             0.98727,             0.98497,             0.99438,              0.8314,            0.015749,           0.0056959,           0.0017117,            0.003136,            0.003136,            0.003136
                  54,            0.020876,            0.010146,           0.0064732,             0.98838,             0.98847,             0.99365,             0.84337,            0.015308,           0.0056299,           0.0016332,            0.003004,            0.003004,            0.003004
                  55,            0.019853,           0.0099254,            0.006962,             0.98837,               0.988,              0.9946,             0.84387,            0.015031,           0.0056421,           0.0020525,            0.002872,            0.002872,            0.002872
                  56,            0.019803,           0.0099249,           0.0065913,             0.98622,             0.98766,             0.99445,             0.83928,            0.015001,           0.0055902,           0.0015255,             0.00274,             0.00274,             0.00274
                  57,            0.019602,           0.0099299,           0.0064629,             0.99072,             0.99161,             0.99467,             0.84798,            0.014642,           0.0054214,           0.0015325,            0.002608,            0.002608,            0.002608
                  58,            0.019846,           0.0099114,           0.0069029,             0.99003,             0.98985,              0.9943,             0.85136,            0.014519,           0.0054421,           0.0014531,            0.002476,            0.002476,            0.002476
                  59,              0.0192,            0.009919,           0.0055452,              0.9932,             0.98918,             0.99487,             0.84787,            0.014758,           0.0053436,           0.0014146,            0.002344,            0.002344,            0.002344
                  60,            0.018947,           0.0095318,           0.0051866,              0.9939,              0.9906,             0.99487,             0.85687,            0.014364,           0.0052364,           0.0012391,            0.002212,            0.002212,            0.002212
                  61,            0.018221,           0.0094384,           0.0049989,             0.98938,             0.99286,             0.99487,             0.85792,            0.014111,           0.0051954,           0.0012478,             0.00208,             0.00208,             0.00208
                  62,            0.018281,           0.0094564,           0.0052246,             0.99185,             0.98959,              0.9947,             0.85668,            0.013875,           0.0052259,            0.001227,            0.001948,            0.001948,            0.001948
                  63,            0.018163,           0.0092475,           0.0058188,             0.99407,             0.99282,             0.99489,             0.86476,             0.01354,           0.0050839,           0.0011401,            0.001816,            0.001816,            0.001816
                  64,            0.017737,           0.0091955,           0.0052563,             0.99388,             0.99535,             0.99491,             0.87572,             0.01324,           0.0049545,           0.0010501,            0.001684,            0.001684,            0.001684
                  65,            0.017389,           0.0089242,           0.0049829,             0.99589,              0.9927,              0.9949,             0.87341,            0.012963,           0.0049406,           0.0010091,            0.001552,            0.001552,            0.001552
                  66,            0.017458,           0.0092986,           0.0047172,             0.99463,             0.99381,             0.99491,             0.87539,            0.013074,           0.0049857,          0.00095139,             0.00142,             0.00142,             0.00142
                  67,            0.016651,           0.0086433,           0.0042742,             0.99517,             0.99229,             0.99487,             0.87627,            0.012726,           0.0048587,          0.00090885,            0.001288,            0.001288,            0.001288
                  68,             0.01704,           0.0087191,           0.0044907,             0.99546,              0.9928,             0.99493,             0.87924,            0.012693,           0.0048659,          0.00089799,            0.001156,            0.001156,            0.001156
                  69,            0.016878,           0.0090607,           0.0044929,             0.99504,             0.99499,             0.99495,              0.8819,            0.012221,           0.0048973,          0.00083645,            0.001024,            0.001024,            0.001024
                  70,            0.016643,           0.0087926,           0.0040825,             0.99339,             0.99668,             0.99495,             0.88471,            0.012159,           0.0048857,          0.00078669,            0.000892,            0.000892,            0.000892
                  71,            0.016623,           0.0086343,           0.0044392,             0.99654,             0.99444,             0.99496,             0.88954,            0.011776,            0.004789,          0.00076764,             0.00076,             0.00076,             0.00076
                  72,            0.016055,           0.0087487,           0.0046044,               0.996,             0.99603,             0.99493,             0.89009,            0.011766,           0.0046879,          0.00074999,            0.000628,            0.000628,            0.000628
                  73,            0.015318,           0.0085516,           0.0038753,             0.99645,             0.99559,             0.99492,             0.89258,            0.011481,           0.0046241,          0.00072127,            0.000496,            0.000496,            0.000496
                  74,            0.015505,           0.0085234,           0.0036844,             0.99648,             0.99477,             0.99492,             0.89335,            0.011382,           0.0045949,          0.00069982,            0.000364,            0.000364,            0.000364
