               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.083593,            0.033276,             0.06455,                0.15,             0.19217,            0.044911,            0.015131,            0.062211,            0.018878,            0.059608,            0.070476,           0.0032804,           0.0032804
                   1,            0.057945,            0.025329,            0.060771,             0.10285,             0.34854,            0.089306,            0.032718,             0.05123,            0.013808,            0.058043,            0.040463,           0.0066007,           0.0066007
                   2,            0.055023,            0.021174,            0.060053,            0.092683,              0.4736,              0.1061,            0.047514,            0.047711,            0.011801,            0.057825,            0.010437,           0.0099077,           0.0099077
                   3,            0.050025,             0.01962,            0.059943,            0.089751,             0.61893,             0.11972,            0.051527,            0.043658,            0.011144,            0.057335,           0.0099406,           0.0099406,           0.0099406
                   4,            0.044362,            0.017182,             0.05949,             0.11143,             0.64022,             0.14306,            0.071031,             0.03675,            0.010044,            0.056919,           0.0099406,           0.0099406,           0.0099406
                   5,            0.041171,            0.016103,            0.059469,              0.1276,             0.54688,             0.16458,             0.08349,             0.03501,           0.0095921,             0.05666,           0.0099208,           0.0099208,           0.0099208
                   6,            0.038291,            0.015459,            0.058757,             0.14084,             0.55478,             0.19256,             0.11348,            0.034453,           0.0095233,            0.055897,            0.009901,            0.009901,            0.009901
                   7,            0.037228,            0.015389,            0.057582,             0.16083,             0.52497,             0.22858,             0.14304,            0.031426,           0.0089607,            0.054233,           0.0098812,           0.0098812,           0.0098812
                   8,            0.035571,            0.014832,            0.055812,             0.26627,             0.44325,             0.30293,             0.19306,              0.0318,           0.0088216,            0.051779,           0.0098614,           0.0098614,           0.0098614
                   9,            0.035222,            0.014124,             0.05364,             0.32128,             0.51459,             0.40706,             0.25333,            0.032282,           0.0090449,            0.047649,           0.0098416,           0.0098416,           0.0098416
                  10,            0.034195,            0.014461,            0.050116,             0.40704,             0.55378,             0.49223,             0.31371,            0.029518,           0.0088496,            0.043755,           0.0098218,           0.0098218,           0.0098218
                  11,            0.035599,            0.014109,            0.046271,             0.45412,             0.63748,              0.5771,             0.31293,            0.031934,           0.0084877,            0.038867,            0.009802,            0.009802,            0.009802
                  12,             0.03493,            0.014023,             0.04251,             0.46679,             0.57583,             0.50656,             0.30367,            0.031873,           0.0090994,            0.038992,           0.0097822,           0.0097822,           0.0097822
                  13,             0.03509,            0.014684,            0.038877,             0.63593,             0.65501,             0.68906,             0.44881,            0.028742,             0.00891,            0.031747,           0.0097624,           0.0097624,           0.0097624
                  14,             0.03447,            0.013986,            0.036311,             0.65755,             0.66912,             0.73568,              0.4855,            0.028695,           0.0087036,            0.027901,           0.0097426,           0.0097426,           0.0097426
                  15,            0.034208,            0.014225,            0.034133,             0.64856,             0.69408,             0.77395,              0.4955,            0.030954,           0.0083902,            0.026136,           0.0097228,           0.0097228,           0.0097228
                  16,            0.033557,            0.014259,            0.031955,             0.71133,             0.75888,             0.80325,             0.47872,            0.029063,           0.0086099,            0.024736,            0.009703,            0.009703,            0.009703
                  17,            0.033835,            0.014064,            0.031028,             0.73267,             0.75807,             0.82501,             0.54611,            0.032337,           0.0082363,             0.02205,           0.0096832,           0.0096832,           0.0096832
                  18,            0.032989,            0.014319,             0.02837,             0.71561,             0.73246,              0.7924,             0.52622,            0.028429,           0.0083535,            0.025526,           0.0096634,           0.0096634,           0.0096634
                  19,            0.033113,            0.013395,            0.026153,             0.79238,             0.77468,             0.85202,             0.55468,            0.030127,           0.0083492,            0.020284,           0.0096436,           0.0096436,           0.0096436
                  20,            0.032233,            0.013953,            0.026731,             0.69779,             0.56857,             0.58987,             0.37141,            0.030672,           0.0095939,             0.03428,           0.0096238,           0.0096238,           0.0096238
                  21,            0.033275,            0.013474,            0.023629,             0.82824,             0.75552,             0.83961,             0.56575,             0.02797,           0.0083606,            0.022323,            0.009604,            0.009604,            0.009604
                  22,            0.031734,            0.013446,            0.023241,             0.84179,             0.75999,             0.86631,             0.58015,            0.029192,           0.0082426,            0.019602,           0.0095842,           0.0095842,           0.0095842
                  23,            0.031072,            0.013286,            0.021317,             0.90814,             0.83681,             0.92411,             0.64057,            0.027156,           0.0081052,            0.014086,           0.0095644,           0.0095644,           0.0095644
                  24,            0.030757,            0.013218,            0.020704,             0.87415,             0.80023,             0.90194,             0.61547,            0.027888,           0.0084296,            0.017383,           0.0095446,           0.0095446,           0.0095446
                  25,            0.031109,            0.013196,            0.020242,             0.92262,             0.86232,             0.94486,             0.64452,            0.027325,           0.0079482,            0.012704,           0.0095248,           0.0095248,           0.0095248
                  26,            0.031443,            0.013207,            0.019757,              0.9154,             0.84755,             0.94029,             0.65803,            0.025623,           0.0082863,            0.012283,            0.009505,            0.009505,            0.009505
                  27,            0.031266,            0.013847,             0.01875,             0.90805,              0.8558,             0.93713,             0.64116,            0.025136,           0.0080772,            0.012393,           0.0094852,           0.0094852,           0.0094852
                  28,            0.031467,            0.014254,            0.018874,             0.90418,             0.82957,             0.93074,             0.64878,            0.025793,           0.0081698,            0.014846,           0.0094654,           0.0094654,           0.0094654
                  29,            0.030685,            0.013245,            0.017864,             0.91307,             0.89324,             0.95217,             0.65218,            0.026668,           0.0081798,            0.010967,           0.0094456,           0.0094456,           0.0094456
                  30,            0.031051,            0.013571,             0.01828,              0.9361,             0.90138,             0.96569,             0.69307,            0.024899,           0.0078379,            0.009011,           0.0094258,           0.0094258,           0.0094258
